CLIENT_ID,REACTIVATION_SCORE,TOTAL_SALES,RECENCY_DAYS,FREQUENCY,SPEND_LAST_12M,SPEND_TOOL_SHARE,ACTIVE_SPAN_DAYS,RANK,SPEND_TIER,TOOL_SHARE_BIN
45138,0.8826601108089109,4950.45,821,23,0.0,0.9747780504800624,273,1,High,80-100%
17606,0.8644048264666648,2816.36,851,14,0.0,0.9555348037889491,243,2,High,80-100%
29642,0.8523893373490564,4485.64,790,14,0.0,0.8702392523695903,273,3,High,80-100%
20442,0.8496683514414853,783.65,790,4,0.0,0.85890384737975,304,4,High,80-100%
31424,0.8490645908232763,2417.57,882,14,0.0,0.9531016682036287,122,5,High,80-100%
58218,0.8485377660317069,2262.76,760,9,0.0,0.6875143629900266,275,6,High,60-80%
36014,0.846545906658176,1368.29,913,10,0.0,0.9508510622741152,181,7,High,80-100%
25095,0.8465266332658407,1624.66,913,10,0.0,0.9270985929357975,150,8,High,80-100%
28198,0.8449960109220584,1306.97,851,9,0.0,0.8696068004614722,184,9,High,80-100%
43353,0.8433347278049194,1823.3400000000001,821,19,0.0,0.6834326017085769,242,10,High,60-80%
66333,0.8430802613837401,4523.570000000001,760,15,0.0,0.9530680413918755,275,11,High,80-100%
50986,0.8422869522912797,164.1,790,3,0.0,0.0,304,12,Mid-Low,0-20%
34218,0.8386901561296839,1717.92,851,13,0.0,0.9484027195672974,243,13,High,80-100%
52873,0.8384444040228005,2898.06,790,14,0.0,0.8164047673268269,245,14,High,80-100%
4440,0.8381757972866477,1743.42,943,7,0.0,0.9439090982087255,151,15,High,80-100%
54236,0.8380951769689798,2108.79,943,16,0.0,0.9271904741577268,151,16,High,80-100%
64621,0.8378701328754035,1764.1100000000001,913,7,0.0,0.9999999999994331,181,17,High,80-100%
24263,0.8375453411668342,1082.49,790,5,0.0,0.19030198893274736,245,18,High,0-20%
44628,0.8364652564199208,2826.5699999999997,1063,16,0.0,0.9643525545091881,0,19,High,80-100%
42584,0.8343637006995197,5273.12,851,52,0.0,0.6795502472917969,243,20,High,60-80%
29041,0.8336199527016497,3371.2,974,2,0.0,0.9999999999997033,89,21,High,80-100%
60540,0.8335723545600244,1810.69,760,11,0.0,0.2416592569682046,275,22,High,20-40%
44239,0.8319177504930237,1367.71,882,10,0.0,0.6065467094628199,181,23,High,60-80%
40653,0.8311122851832049,890.8399999999999,790,5,0.0,0.6963989044040497,273,24,High,60-80%
23372,0.830772969472844,1523.63,821,9,0.0,0.9694545263607507,273,25,High,80-100%
57349,0.8298827892811184,2369.8,760,22,0.0,0.7694953160601024,303,26,High,60-80%
34254,0.8298232601419692,1787.82,1094,10,0.0,0.9132183329412842,0,27,High,80-100%
51257,0.8297156192764531,1881.13,790,15,0.0,0.7658481869935806,184,28,High,60-80%
33717,0.8292201302316312,2104.31,1094,15,0.0,0.9781305986280643,0,29,High,80-100%
68147,0.8286176233174878,2222.39,821,13,0.0,0.9504227430824697,122,30,High,80-100%
65433,0.8272285834140621,2625.26,1063,13,0.0,0.9398802404329705,0,31,High,80-100%
12473,0.8269317308798275,1587.17,943,11,0.0,0.8522905548864631,120,32,High,80-100%
21659,0.825300529138182,3137.77,821,18,0.0,0.9806869209658513,214,33,High,80-100%
28528,0.8246102628503311,3090.2,1004,34,0.0,0.9528024076108496,59,34,High,80-100%
64619,0.8243141802305614,1799.8600000000001,1094,14,0.0,0.9440623159573833,0,35,High,80-100%
815,0.823571925194368,1943.19,1004,14,0.0,0.8050576629146893,59,36,High,80-100%
53007,0.822030918690299,2731.26,1004,18,0.0,0.9676266631514511,31,37,High,80-100%
8888,0.8206430802139412,734.87,943,11,0.0,0.28694871201670097,92,38,High,20-40%
39118,0.8202739925615791,1487.23,913,7,0.0,0.933426571545132,122,39,High,80-100%
13614,0.8202282393651105,1635.42,882,8,0.0,0.9655256753610904,181,40,High,80-100%
9449,0.8198107839913753,1189.07,760,12,0.0,0.7775404307561561,244,41,High,60-80%
51990,0.8165427355565827,787.62,790,13,0.0,0.1578680074145427,184,42,High,0-20%
22107,0.8142874944928932,2474.05,1035,9,0.0,0.9612255209066264,0,43,High,80-100%
64008,0.8139959094388541,1676.99,913,15,0.0,0.9422059761829574,150,44,High,80-100%
40412,0.8134081787746938,133.78,760,2,0.0,0.0,303,45,Mid-Low,0-20%
26557,0.8123664934558653,2037.53,913,19,0.0,0.8133377177264564,122,46,High,80-100%
62160,0.8123059202571228,2356.5,943,10,0.0,0.9123488224057236,0,47,High,80-100%
34213,0.8115163363615796,454.6,760,15,0.0,0.5635503739538857,244,48,Mid-High,40-60%
44034,0.8106052441372954,1394.32,1004,12,0.0,0.9471857249405106,31,49,High,80-100%
11504,0.8089221230179643,2066.64,1004,10,0.0,0.9249554832961111,0,50,High,80-100%
42144,0.8076450046237326,3792.7300000000005,882,22,0.0,0.7874828949066274,122,51,High,60-80%
4492,0.807601224340969,1203.4,943,8,0.0,0.602218713644173,92,52,High,60-80%
15026,0.8058145515953281,523.79,760,4,0.0,0.4547814964003613,275,53,Mid-High,40-60%
58958,0.8056855059331267,1741.24,1063,11,0.0,0.8860352392542751,0,54,High,80-100%
3654,0.8052884725565462,2498.41,1035,13,0.0,0.933565747815237,0,55,High,80-100%
40443,0.8051147817230824,1524.67,1035,10,0.0,0.984777033718126,0,56,High,80-100%
28596,0.8050340075628817,5350.83,1004,1,0.0,0.999999999999813,0,57,High,80-100%
62765,0.804756923165759,5511.96,1035,42,0.0,0.7132471933757295,28,58,High,60-80%
43697,0.8043144390554546,2223.12,1063,20,0.0,0.9621432941087472,0,59,High,80-100%
54247,0.803220120941136,3371.2,1094,2,0.0,0.9999999999997033,0,60,High,80-100%
329,0.803117642197902,566.71,760,8,0.0,0.8665631451697225,275,61,Mid-High,80-100%
40353,0.8022151386850512,1369.93,1004,9,0.0,0.9633995897593575,0,62,High,80-100%
41686,0.8019919548317948,412.63,851,9,0.0,0.6223977897859526,123,63,Mid-High,60-80%
37910,0.8017511562316783,2852.8900000000003,913,14,0.0,0.9292927522614159,122,64,High,80-100%
2794,0.8010018215387266,1441.6499999999999,974,14,0.0,0.7187805639366567,30,65,High,60-80%
33830,0.7993515944845655,1267.81,1063,8,0.0,0.9562473872260384,0,66,High,80-100%
7970,0.7985187422924552,109.8,790,2,0.0,0.0,184,67,Mid-Low,0-20%
20792,0.7980016597270544,1995.63,1063,8,0.0,0.846138813306652,0,68,High,80-100%
46968,0.7958863607565948,2170.09,1004,8,0.0,0.9579833094475538,0,69,High,80-100%
32854,0.7952436746016063,2063.5099999999998,821,14,0.0,0.9123968383962702,183,70,High,80-100%
46932,0.7940336416996262,1104.44,851,11,0.0,0.6322570714564556,92,71,High,60-80%
24822,0.7934020853198154,1336.2,913,6,0.0,0.8429576410710651,91,72,High,80-100%
11924,0.793269916236074,1757.81,1004,12,0.0,0.8379403917369694,31,73,High,80-100%
20988,0.7929188312759277,2798.96,913,13,0.0,0.9283376682764569,91,74,High,80-100%
55872,0.7926409612410814,2179.6,821,10,0.0,0.9091622316017116,183,75,High,80-100%
61273,0.791943335741807,1060.65,974,9,0.0,0.9456276811380326,0,76,High,80-100%
63426,0.7906524096054536,5174.18,851,10,0.0,0.0,0,77,High,0-20%
66395,0.7889402847490604,2771.06,790,23,0.0,0.8313858234751931,245,78,High,80-100%
